,Country,con_code,Score,GDP,social,life_expectancy,freedom,Generosity,corruption,alcohol_consumption,beer_servings,spirit_servings,wine_servings,equal_or_greater_than_5.41?
0,Finland,FIN,7.632000000000001,50030.87731,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,10.78,263,133,97,True
1,Norway,NOR,7.593999999999999,81734.46557,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,7.41,169,71,129,True
2,Denmark,DNK,7.555,61598.5367,1.59,0.868,0.6829999999999999,0.284,0.408,10.26,224,81,278,True
3,Iceland,ISL,7.495,72968.70422999999,1.6440000000000001,0.914,0.677,0.353,0.138,9.12,233,61,78,True
4,Switzerland,CHE,7.487,82818.10816,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,11.53,185,100,280,True
5,Netherlands,NLD,7.441,53044.532439999995,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,9.61,251,88,190,True
6,Canada,CAN,7.327999999999999,46313.17137,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,8.94,240,122,100,True
7,New Zealand,NZL,7.324,42949.93058,1.601,0.8759999999999999,0.669,0.365,0.389,10.63,203,79,175,True
8,Sweden,SWE,7.314,54589.06039,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,8.93,152,60,186,True
9,Australia,AUS,7.272,57354.96405,1.5730000000000002,0.91,0.647,0.361,0.302,10.51,261,72,212,True
10,United Kingdom,GBR,7.19,43043.22782,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,11.45,219,126,195,True
11,Austria,AUT,7.138999999999999,51478.285260000004,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,11.96,279,75,191,True
12,Costa Rica,CRI,7.072,12112.13442,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,4.87,149,87,11,True
13,Ireland,IRL,6.977,78621.22793,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,12.88,313,118,165,True
14,Germany,DEU,6.965,47810.50767,1.474,0.861,0.586,0.273,0.28,12.91,346,117,175,True
15,Belgium,BEL,6.9270000000000005,47583.07494,1.483,0.894,0.583,0.188,0.24,11.08,295,84,212,True
16,Luxembourg,LUX,6.91,116654.2611,1.52,0.8959999999999999,0.632,0.196,0.321,12.94,236,133,271,True
17,Israel,ISR,6.814,41719.725439999995,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,4.21,63,69,9,True
18,Czech Republic,CZE,6.711,23415.84363,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,14.45,361,170,134,True
19,Malta,MLT,6.627000000000001,30437.221510000003,1.525,0.884,0.645,0.376,0.142,7.99,149,100,120,True
20,France,FRA,6.489,41631.09074,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,12.33,127,151,370,True
21,Mexico,MEX,6.4879999999999995,9686.513783,1.252,0.7609999999999999,0.479,0.069,0.095,5.0,238,68,5,True
22,Chile,CHL,6.476,15924.794240000001,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,9.07,130,124,172,True
23,Panama,PAN,6.43,15592.573680000001,1.4380000000000002,0.759,0.597,0.125,0.063,7.98,285,104,18,True
24,Brazil,BRA,6.419,9001.234249,1.474,0.675,0.493,0.11,0.08800000000000001,7.42,245,145,16,True
25,Argentina,ARG,6.388,11633.49801,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,9.65,193,25,221,True
26,Guatemala,GTM,6.382000000000001,4472.892371,1.268,0.608,0.604,0.179,0.071,2.45,53,69,2,True
27,Uruguay,URY,6.379,17277.97011,1.459,0.7709999999999999,0.625,0.13,0.155,6.92,115,35,220,True
28,Qatar,QAT,6.374,65908.0669,1.3030000000000002,0.748,0.654,0.256,0.171,1.59,1,42,7,True
29,Saudi Arabia,SAU,6.371,23338.96346,1.331,0.633,0.509,0.098,0.127,0.19,0,5,0,True
30,Singapore,SGP,6.343,66188.7794,1.4509999999999998,1.008,0.631,0.261,0.457,2.03,60,12,11,True
31,Malaysia,MYS,6.322,11377.455,1.258,0.669,0.35600000000000004,0.311,0.059000000000000004,0.85,13,4,0,True
32,Spain,ESP,6.31,30389.360989999997,1.538,0.965,0.449,0.142,0.07400000000000001,12.72,284,157,112,True
33,Colombia,COL,6.26,6716.911598000001,1.439,0.635,0.531,0.099,0.039,5.74,159,76,3,True
34,El Salvador,SLV,6.167000000000001,4067.659449,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999,3.89,52,69,2,True
35,Nicaragua,NIC,6.141,2020.55193,1.319,0.7,0.527,0.20800000000000002,0.128,5.18,78,118,1,True
36,Poland,POL,6.122999999999999,15468.482219999998,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064,11.71,343,215,56,True
37,Bahrain,BHR,6.105,23991.05668,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001,1.09,42,63,7,True
38,Uzbekistan,UZB,6.096,1529.082864,1.584,0.605,0.7240000000000001,0.32799999999999996,0.259,2.59,25,101,8,True
39,Kuwait,KWT,6.082999999999999,33994.38192,1.301,0.675,0.5539999999999999,0.16699999999999998,0.106,0.003,0,0,0,True
40,Thailand,THA,6.072,7295.475616,1.4169999999999998,0.7070000000000001,0.637,0.364,0.028999999999999998,8.3,99,258,1,True
41,Italy,ITA,6.0,34615.75689,1.501,0.946,0.281,0.13699999999999998,0.027999999999999997,7.84,85,42,237,True
42,Ecuador,ECU,5.973,6295.935399,1.33,0.736,0.556,0.114,0.12,4.2,162,74,3,True
43,Belize,BLZ,5.956,4884.734162,1.101,0.474,0.593,0.183,0.08900000000000001,6.22,263,114,8,True
44,Lithuania,LTU,5.952000000000001,19176.176519999997,1.527,0.716,0.35,0.026000000000000002,0.006,13.22,343,244,56,True
45,Slovenia,SVN,5.9479999999999995,26115.91337,1.506,0.856,0.633,0.16,0.051,11.9,270,51,276,True
46,Romania,ROU,5.945,12399.88934,1.219,0.726,0.528,0.08800000000000001,0.001,11.74,297,122,167,True
47,Latvia,LVA,5.933,17858.279980000003,1.454,0.6709999999999999,0.363,0.092,0.066,12.77,281,216,62,True
48,Japan,JPN,5.915,39159.42356,1.462,0.988,0.5529999999999999,0.079,0.15,7.96,77,202,16,True
49,Mauritius,MUS,5.891,11208.34382,1.3869999999999998,0.684,0.584,0.245,0.05,4.35,98,31,18,True
50,Jamaica,JAM,5.89,5354.236859000001,1.493,0.693,0.575,0.096,0.031,4.22,82,97,9,True
51,Kazakhstan,KAZ,5.79,9812.601405,1.516,0.631,0.45399999999999996,0.14800000000000002,0.121,4.76,124,246,12,True
52,Cyprus,CYP,5.7620000000000005,28689.70672,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035,10.81,192,154,113,True
53,Bolivia,BOL,5.752000000000001,3548.590155,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006,4.43,167,41,8,True
54,Estonia,EST,5.739,23170.70738,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174,9.23,224,194,59,True
55,Paraguay,PRY,5.681,5805.6756159999995,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,7.58,213,117,74,True
56,Peru,PER,5.662999999999999,6941.235848,1.249,0.674,0.53,0.092,0.034,6.38,163,160,21,True
57,Moldova,MDA,5.64,4233.743437,1.301,0.62,0.23199999999999998,0.171,0.0,11.43,109,226,18,True
58,Turkmenistan,TKM,5.636,6966.635411,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005,4.93,19,71,32,True
59,Hungary,HUN,5.62,16410.18726,1.401,0.732,0.259,0.061,0.022000000000000002,11.35,234,215,185,True
60,Libya,LBY,5.566,7877.122251000001,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002,0.019,0,0,0,True
61,Philippines,PHL,5.524,3252.0923239999997,1.3119999999999998,0.513,0.643,0.12,0.105,6.86,71,186,1,True
62,Honduras,HND,5.504,2505.7767519999998,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001,3.76,69,98,2,True
63,Belarus,BLR,5.483,6330.075246,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,11.45,142,373,42,True
64,Turkey,TUR,5.483,9455.593654,1.38,0.6859999999999999,0.324,0.106,0.109,2.05,51,22,7,True
65,Pakistan,PAK,5.472,1482.305667,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113,0.34,0,0,0,True
66,Portugal,PRT,5.41,23562.554519999998,1.429,0.884,0.562,0.055,0.017,12.03,194,67,339,False
67,Serbia,SRB,5.398,7252.401858,1.369,0.685,0.28800000000000003,0.134,0.043,8.75,283,131,127,False
68,Greece,GRC,5.358,20324.30499,1.202,0.879,0.131,0.0,0.044000000000000004,10.18,133,112,218,False
69,Lebanon,LBN,5.358,8024.803271,1.179,0.785,0.503,0.214,0.136,1.71,20,55,31,False
70,Montenegro,MNE,5.347,8846.056525,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081,11.47,31,114,128,False
71,Croatia,HRV,5.321000000000001,15014.085019999999,1.161,0.737,0.38,0.12,0.039,9.23,230,87,254,False
72,Dominican Republic,DOM,5.3020000000000005,8050.630440000001,1.4409999999999998,0.614,0.578,0.12,0.106,6.68,193,147,9,False
73,Algeria,DZA,5.295,4153.733978,1.1540000000000001,0.687,0.077,0.055,0.135,0.95,25,0,14,False
74,Morocco,MAR,5.254,3222.200634,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,0.69,12,6,10,False
75,China,CHN,5.246,9976.677137,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,7.05,79,192,8,False
76,Azerbaijan,AZE,5.2010000000000005,4739.841710000001,1.161,0.603,0.43,0.031,0.17600000000000002,4.41,21,46,5,False
77,Tajikistan,TJK,5.199,826.6215305,1.166,0.598,0.292,0.187,0.034,3.28,2,15,0,False
78,Jordan,JOR,5.1610000000000005,4312.180117,1.265,0.645,0.46799999999999997,0.13,0.134,0.69,6,21,1,False
79,Nigeria,NGA,5.155,2027.777979,1.172,0.048,0.462,0.201,0.032,10.84,42,5,2,False
80,Mongolia,MNG,5.125,4134.987198,1.517,0.575,0.395,0.253,0.032,8.19,77,189,8,False
81,Vietnam,VNM,5.103,2566.59695,1.365,0.7020000000000001,0.618,0.177,0.079,8.66,111,2,1,False
82,Indonesia,IDN,5.093,3893.846425,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,0.57,5,1,0,False
83,Bhutan,BTN,5.082,3243.486036,1.335,0.527,0.541,0.364,0.171,0.43,23,0,0,False
84,Cameroon,CMR,4.975,1534.493702,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,5.65,147,1,4,False
85,Bulgaria,BGR,4.933,9427.73043,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,12.65,231,252,94,False
86,Nepal,NPL,4.88,1038.6516470000001,1.228,0.539,0.526,0.302,0.078,2.05,5,6,0,False
87,Gabon,GAB,4.758,7956.627815999999,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005,8.74,347,98,59,False
88,South Africa,ZAF,4.724,6374.028196,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,9.52,225,76,81,False
89,Ghana,GHA,4.657,2202.312164,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998,2.75,31,3,10,False
90,Senegal,SEN,4.631,1465.591006,1.117,0.433,0.406,0.138,0.08199999999999999,0.76,9,1,7,False
91,Tunisia,TUN,4.592,3438.789089,0.9059999999999999,0.69,0.271,0.04,0.063,2.12,51,3,20,False
92,Albania,ALB,4.586,5284.380184000001,0.8170000000000001,0.79,0.419,0.149,0.032,7.17,89,132,54,False
93,Sierra Leone,SLE,4.571000000000001,533.9911843,0.813,0.0,0.355,0.23800000000000002,0.053,5.7,25,3,2,False
94,Bangladesh,BGD,4.5,1698.350394,0.85,0.579,0.58,0.153,0.14400000000000002,0.019,0,0,0,False
95,Sri Lanka,LKA,4.471,4080.567125,1.314,0.672,0.585,0.307,0.05,4.1,16,104,0,False
96,Iraq,IRQ,4.456,5834.166211,0.971,0.536,0.304,0.14800000000000002,0.095,0.39,9,3,0,False
97,Mali,MLI,4.447,894.8021868999999,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994,1.28,5,1,1,False
98,Namibia,NAM,4.441,5495.428925,1.281,0.365,0.519,0.051,0.064,5.43,376,3,1,False
99,Cambodia,KHM,4.433,1512.12671,1.088,0.457,0.696,0.256,0.065,6.64,57,65,1,False
100,Burkina Faso,BFA,4.4239999999999995,813.096849,1.097,0.254,0.312,0.175,0.128,12.03,25,7,7,False
101,Mozambique,MOZ,4.417,503.3187272,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,2.3,47,18,5,False
102,Kenya,KEN,4.41,1707.986805,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055,2.78,58,22,2,False
103,Zambia,ZMB,4.377,1516.390661,1.047,0.295,0.503,0.221,0.08199999999999999,6.54,32,19,4,False
104,Mauritania,MRT,4.356,1600.876469,1.245,0.292,0.129,0.134,0.09300000000000001,0.036000000000000004,0,0,0,False
105,Ethiopia,ETH,4.35,771.5238138999999,0.95,0.391,0.452,0.22,0.146,2.36,20,3,0,False
106,Georgia,GEO,4.34,4722.787783,0.5920000000000001,0.643,0.375,0.038,0.215,8.25,52,100,149,False
107,Armenia,ARM,4.321000000000001,4220.490277,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,5.55,21,179,11,False
108,Myanmar,MMR,4.308,1418.177623,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,5.12,5,1,0,False
109,Chad,TCD,4.301,726.1498811,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,1.37,15,1,1,False
110,India,IND,4.19,2005.8630050000002,0.747,0.485,0.539,0.172,0.09300000000000001,5.54,9,114,0,False
111,Niger,NER,4.166,572.4271543,0.867,0.221,0.39,0.175,0.099,0.67,3,2,1,False
112,Uganda,UGA,4.1610000000000005,770.4524533,1.09,0.237,0.45,0.259,0.061,15.09,45,9,0,False
113,Benin,BEN,4.141,1240.8294640000001,0.37200000000000005,0.24,0.44,0.163,0.067,2.81,34,4,13,False
114,Sudan,SDN,4.138999999999999,623.8672524,1.24,0.312,0.016,0.134,0.08199999999999999,0.51,8,13,0,False
115,Ukraine,UKR,4.103,3096.817402,1.413,0.609,0.163,0.187,0.011000000000000001,8.32,206,237,45,False
116,Togo,TGO,3.9989999999999997,679.9727606,0.474,0.253,0.434,0.158,0.10099999999999999,2.46,36,2,19,False
117,Guinea,GIN,3.964,878.5996133,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094,1.11,9,0,2,False
118,Lesotho,LSO,3.8080000000000003,1221.883763,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999,4.59,82,29,0,False
119,Angola,AGO,3.795,3289.646664,1.125,0.26899999999999996,0.0,0.079,0.061,6.94,217,57,45,False
120,Madagascar,MDG,3.7739999999999996,527.5013261,0.9079999999999999,0.402,0.221,0.155,0.049,1.97,26,15,4,False
121,Zimbabwe,ZWE,3.6919999999999997,1683.740577,1.094,0.248,0.406,0.132,0.099,4.67,64,18,4,False
122,Afghanistan,AFG,3.6319999999999997,493.7504181,0.537,0.255,0.085,0.191,0.036000000000000004,0.21,0,0,0,False
123,Botswana,BWA,3.59,8279.601739,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,6.59,173,35,35,False
124,Malawi,MWI,3.5869999999999997,381.2589876,0.541,0.306,0.531,0.21,0.08,3.63,8,11,1,False
125,Haiti,HTI,3.582,1435.351756,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,2.73,1,326,1,False
126,Liberia,LBR,3.495,677.3221785000001,0.858,0.267,0.419,0.20600000000000002,0.03,6.12,19,152,2,False
127,Rwanda,RWA,3.408,783.2871842000001,0.8959999999999999,0.4,0.636,0.2,0.444,8.95,43,2,0,False
128,Tanzania,TZA,3.303,1060.994615,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,11.27,36,6,1,False
129,Central African Republic,CAF,3.083,475.95360989999995,0.0,0.01,0.305,0.218,0.038,2.38,17,2,1,False
130,Burundi,BDI,2.905,271.7520444,0.627,0.145,0.065,0.149,0.076,7.19,88,0,0,False
